voltage,current,temperature,timestamp,anomaly
236.55,7.39,43.0,2025-06-07 13:25:28.611859,True
237.7,10.23,31.19,2025-06-07 13:25:28.611859,True
216.29,7.08,43.17,2025-06-07 13:25:28.611859,True
229.85,8.34,43.62,2025-06-07 13:25:28.611859,True
237.69,5.44,38.65,2025-06-07 13:25:28.611859,True
236.33,6.39,41.58,2025-06-07 13:25:28.611859,True
232.23,5.32,41.72,2025-06-07 13:25:28.611859,True
235.72,10.86,25.51,2025-06-07 13:25:28.611859,True
228.0,10.65,40.98,2025-06-07 13:25:28.611859,True
238.15,8.9,38.91,2025-06-07 13:25:28.611859,True
235.76,13.56,37.89,2025-06-07 13:25:28.611859,True
239.17,13.2,38.13,2025-06-07 13:25:28.611859,True
235.84,7.64,29.84,2025-06-07 13:25:28.611859,True
239.62,10.22,39.72,2025-06-07 13:25:28.611859,True
230.48,14.08,41.17,2025-06-07 13:25:28.611859,True
217.88,14.27,40.84,2025-06-07 13:25:28.611859,True
217.95,10.58,40.11,2025-06-07 13:25:28.611859,True
216.4,14.94,41.16,2025-06-07 13:25:28.611859,True
236.16,13.45,28.55,2025-06-07 13:25:28.612921,True
222.24,6.17,42.35,2025-06-07 13:25:28.612921,True
233.59,9.29,44.93,2025-06-07 13:25:28.612921,True
220.33,10.36,40.27,2025-06-07 13:25:28.612921,True
239.09,14.95,26.42,2025-06-07 13:25:28.612921,True
222.84,6.49,42.0,2025-06-07 13:25:28.612921,True
235.56,12.27,34.27,2025-06-07 13:25:28.612921,True
226.91,9.95,44.1,2025-06-07 13:25:28.612921,True
235.99,10.81,42.68,2025-06-07 13:25:28.612921,True
239.69,12.11,28.15,2025-06-07 13:25:28.612921,True
238.01,12.98,35.97,2025-06-07 13:25:28.612921,True
210.2,11.24,41.32,2025-06-07 13:25:28.612921,True
222.07,9.89,41.65,2025-06-07 13:25:28.612921,True
217.98,11.51,44.63,2025-06-07 13:25:28.612921,True
216.95,7.24,43.6,2025-06-07 13:25:28.612921,True
237.07,12.32,34.04,2025-06-07 13:25:28.612921,True
219.28,11.04,40.1,2025-06-07 13:25:28.612921,True
234.8,11.8,41.66,2025-06-07 13:25:28.612921,True
234.65,13.57,41.19,2025-06-07 13:25:28.612921,True
235.07,11.19,32.48,2025-06-07 13:25:28.612921,True
231.04,12.5,41.7,2025-06-07 13:25:28.612921,True
235.44,9.51,43.09,2025-06-07 13:25:28.612921,True
236.92,14.57,30.55,2025-06-07 13:25:28.613430,True
219.17,12.64,40.57,2025-06-07 13:25:28.613430,True
213.83,11.69,42.34,2025-06-07 13:25:28.613430,True
216.45,14.72,40.27,2025-06-07 13:25:28.613430,True
230.59,13.66,40.5,2025-06-07 13:25:28.613430,True
228.54,11.64,44.78,2025-06-07 13:25:28.613430,True
228.55,6.62,40.92,2025-06-07 13:25:28.613430,True
